ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset,shape.responsearea.stimulusonset,picture.cannonball.stimulusonset,picture.shield_center.stimulusonset,picture.shield.stimulusonset,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,sex,age,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,1,1,0,0,26.07974849317217,7.9988173800168525,208.47420361007437,206.18811069748085,1098,0,1,6,220.47420361007437,196.47420361007437,6,2.286092912593517,24,2.5,0,2,0,3,0,NA,24,1,0,159.52461376994248,177.6055448830978,miss,1,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,1
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,2,0,1,0,26.07974849317217,45.97554994076025,7.0578466498810775,208.47420361007437,950,0,2,6,15.057846649881078,359.05784664988107,6,158.5836430398067,16,2.5,0,3,0,3,0,NA,16,2,0,38.917703290879174,19.02190184329109,miss,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,3,1,0,0,131.00926973181993,130.03260362468572,23.99031596584003,7.0578466498810775,731,0,3,6,45.490315965840026,2.490315965840029,6,16.93246931595895,43,2.5,0,2,0,2,0,NA,43,3,0,106.0422876588457,107.0189537659799,miss,3,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,1
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,4,0,1,0,131.00926973181993,122.21698135777181,9.323591778138013,23.99031596584003,850,0,0,6,20.823591778138013,357.823591778138,6,14.666724187702016,23,2.5,0,3,0,2,0,NA,23,4,0,112.8933895796338,121.68567795368192,miss,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,5,0,2,1,131.00926973181993,128.71244843030442,128.44078875700546,9.323591778138013,778,1,0,6,155.44078875700546,101.44078875700546,5,119.11719697886745,54,2.5,0,2,0,2,0,NA,54,5,0.5,0.2716596732989558,2.568480974814463,hit,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0.5,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,6,0,3,1,131.00926973181993,139.43844932115738,128.79223277833796,128.44078875700546,393,2,0,6,143.29223277833796,114.29223277833796,5,0.3514440213324974,29,2.5,0,2,0,2,0,NA,29,6,0.5,10.646216542819417,2.2170369534819656,hit,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0.5,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,7,0,4,1,131.00926973181993,129.2369657185397,131.18592516570965,128.79223277833796,513,3,0,6,160.18592516570965,102.18592516570965,5,2.3936923873716864,58,2.5,0,2,0,2,0,NA,58,7,0.5,1.9489594471699547,0.17665543388972083,hit,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0.5,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,8,0,5,0,131.00926973181993,101.39851425892513,130.9998142394869,131.18592516570965,327,3,1,6,143.4998142394869,118.49981423948691,6,0.18611092622273873,25,2.5,0,2,0,2,0,NA,25,8,0,29.601299980561777,0.0094554923330179,miss,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,9,0,6,0,131.00926973181993,150.80682247791106,122.03549133958076,130.9998142394869,479,3,2,6,131.53549133958074,112.53549133958076,6,8.96432289990615,19,2.5,0,5,0,3,0,NA,19,9,0,28.771331138330297,8.973778392239169,miss,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0,0.5,0,0,0,0,18.775,NA,0
832332,2021-11-01,21:48:24,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,10,0,7,1,131.00926973181993,156.52710523314556,137.9711632619506,122.03549133958076,510,4,2,6,167.4711632619506,108.47116326195061,5,15.935671922369849,59,2.5,0,2,0,2,0,NA,59,10,0.5,18.555941971194954,6.961893530130681,hit,NA,2,2,NA,NA,NA,0.14,0.1134109419356335,30.890303159686095,179.60333251003487,0.5,0.5,0,0,0,0,18.775,NA,0
