ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset.1,shape.responsearea.stimulusonset.1,picture.cannonball.stimulusonset.1,picture.shield_center.stimulusonset.1,picture.shield.stimulusonset.1,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,sex,age,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,12,0,12,0,177.7695539821334,201.14237392665967,118.37379049957005,194.64431263715568,716,2,2,5.5,146.87379049957005,89.87379049957005,6,76.27052213758563,0,57,2,0,3,0,4,0,57,12,0,82.76858342708962,59.39576348256335,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,13,0,13,0,177.7695539821334,175.98869428750007,131.82016988013578,118.37379049957005,909,2,3,5.5,134.82016988013578,128.82016988013578,6,13.44637938056573,0,6,2,0,4,0,3,0,6,13,0,44.16852440736429,45.94938410199762,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,14,0,14,1,177.7695539821334,172.82334755920996,193.70039866537147,131.82016988013578,627,3,3,5.5,221.70039866537147,165.70039866537147,5,61.88022878523569,0,56,2,0,3,0,4,0,56,14,0.5,20.877051106161503,15.930844683238064,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,15,0,15,1,177.7695539821334,180.65432257107673,172.91006985584477,193.70039866537147,290,4,3,5.5,194.41006985584477,151.41006985584477,5,20.7903288095267,0,43,2,0,3,0,4,0,43,15,0.5,7.744252715231966,4.859484126288635,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,16,1,0,0,332.3528526286485,306.5907428965762,165.89464223566478,172.91006985584477,357,4,0,5.5,NA,NA,6,7.015427620179992,0,NA,2,0,3,0,4,0,5,16,0,140.69610066091144,166.45821039298374,miss,16,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,17,0,1,0,332.3528526286485,337.17261292932346,25.948991268678764,165.89464223566478,1204,4,1,5.5,34.44899126867877,17.448991268678764,6,139.94565096698602,0,17,2,0,3,0,4,0,17,17,0,48.77637833935529,53.59613864003023,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,18,0,2,0,332.3528526286485,340.9176839543494,307.65395516518004,25.948991268678764,662,4,2,5.5,336.65395516518004,278.65395516518004,6,78.29503610349872,0,58,2,0,3,0,3,0,58,18,0,33.26372878916936,24.698897463468484,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,19,0,3,0,332.3528526286485,343.5450582182378,11.91767590471499,307.65395516518004,413,4,3,5.5,29.41767590471499,354.417675904715,6,64.26372073953496,0,35,2,0,4,0,4,0,35,19,0,28.372617686477213,39.56482327606648,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,20,0,4,0,332.3528526286485,339.732114857482,300.9637565320735,11.91767590471499,531,4,0,5.5,311.9637565320735,289.9637565320735,6,70.95391937264151,0,22,2,0,3,0,3,0,22,20,0,38.768358325408485,31.38909609657503,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,21,0,5,1,332.3528526286485,350.9778483878648,358.34769532234856,300.9637565320735,318,5,0,5.5,5.847695322348557,350.84769532234856,5,57.38393879027507,0,15,2,0,3,0,4,0,15,21,0.5,7.369846934483746,25.994842693700036,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,22,0,6,0,332.3528526286485,308.1805870941149,17.386972176915528,358.34769532234856,632,5,1,5.5,23.886972176915528,10.886972176915528,6,19.039276854566992,0,13,2,0,4,0,3,0,13,22,0,69.20638508280064,45.03411954826703,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,23,0,7,1,332.3528526286485,292.5362515861104,291.39289035198146,17.386972176915528,612,6,1,5.5,314.39289035198146,268.39289035198146,5,85.99408182493409,0,46,2,0,3,0,4,0,46,23,0.5,1.1433612341289177,40.959962276667056,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,24,1,0,0,109.92215215925178,88.421237010996,249.41208838797752,291.39289035198146,616,6,2,5.5,261.9120883879775,236.91208838797752,6,41.980801964003945,0,25,2,0,4,0,5,0,25,24,0,160.99085137698154,139.48993622872575,miss,24,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
