Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-11-01,100832,1,73.41468724583356,0,0,0,5,0,36,1,1,NA,2,0,CHANGEPOINT,0,154.2734830795428,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,43.80428373154067,0,256.16717264610224,147.63711108543842,0.019013895585146656,31.744348762784323,171.972722015253,1323,0.5,1,18.775,NA,NA,NA,1,NA,NA
2021-11-01,100832,2,146.41331813724142,0,0,0,5,0,36,1,1,NA,2,0,CHANGEPOINT,0,7.860164942301381,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,52.973710862822564,0,42.58049078334367,10.393220079478894,0.019013895585146656,31.744348762784323,171.972722015253,469,0.5,1,18.775,NA,NA,NA,2,NA,NA
2021-11-01,100832,0,4.155213805584722,0,0,0,5,0,36,1,1,NA,2,0,CHANGEPOINT,1,166.2247615411071,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,242.7995183978589,0,46.73570458892839,163.9361861910695,0.019013895585146656,31.744348762784323,171.972722015253,503,0.5,1,18.775,NA,NA,NA,3,NA,NA
2021-11-01,100832,1,165.79030868800555,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,0.43445285310156123,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,236.4695822143428,0.5,240.94539590092285,4.4758136865800395,0.019013895585146656,31.744348762784323,171.972722015253,445,0.5,1,18.775,NA,NA,NA,4,NA,NA
2021-11-01,100832,0,0,0,0,0,5,0,36,1,1,NA,2,0,CHANGEPOINT,1,109.84142148740375,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,5.816779541354208,0,240.94539590092285,124.87138364043136,0.019013895585146656,31.744348762784323,171.972722015253,575,0.5,1,18.775,NA,NA,NA,5,NA,NA
2021-11-01,100832,1,124.81973865704953,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,14.978317169645777,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,340.57008977369117,0.5,5.765134557972361,25.195044784281208,0.019013895585146656,31.744348762784323,171.972722015253,443,0.5,1,18.775,NA,NA,NA,6,NA,NA
2021-11-01,100832,2,5.206169077140197,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,9.772148092505574,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,343.90564926094333,0.5,0.5589654808321644,16.653316219888836,0.019013895585146656,31.744348762784323,171.972722015253,1043,0.5,1,18.775,NA,NA,NA,7,NA,NA
2021-11-01,100832,3,4.44687504166518,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,5.325273050840394,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,357.47323370170665,0.5,356.112090439167,1.361143262539656,0.019013895585146656,31.744348762784323,171.972722015253,548,0.5,1,18.775,NA,NA,NA,8,NA,NA
2021-11-01,100832,4,0,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,5.325273050840394,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,351.035528129413,0.5,356.112090439167,5.076562309753967,0.019013895585146656,31.744348762784323,171.972722015253,275,0.5,1,18.775,NA,NA,NA,9,NA,NA
2021-11-01,100832,5,6.613575447818334,0,0,0,5,0.5,36,1,1,NA,2,0,CHANGEPOINT,0,1.2883023969779401,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,353.9398935264,0.5,349.49851499134866,4.441378535051342,0.019013895585146656,31.744348762784323,171.972722015253,403,0.5,1,18.775,NA,NA,NA,10,NA,NA
