Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-11-01,520216,1,9.060176310908929,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,96.26721688538336,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,267.4711470817664,0,201.19405648154228,66.27709060022411,0.015013772908730516,35.843674594918724,179.17753186766728,680,0.5,1,18.775,NA,NA,NA,1,NA,NA
2021-11-01,520216,2,58.55177884055351,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,37.71543804482985,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,295.5264786775692,0,259.7458353220958,35.78064335547339,0.015013772908730516,35.843674594918724,179.17753186766728,876,0.5,1,18.775,NA,NA,NA,2,NA,NA
2021-11-01,520216,3,27.477600869035655,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,10.237837175794198,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,252.17938494127756,0,287.22343619113144,35.04405124985388,0.015013772908730516,35.843674594918724,179.17753186766728,663,0.5,1,18.775,NA,NA,NA,3,NA,NA
2021-11-01,520216,4,13.118337677968839,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,23.356174853763036,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,304.11665357124167,0,274.1050985131626,30.011555058079068,0.015013772908730516,35.843674594918724,179.17753186766728,367,0.5,1,18.775,NA,NA,NA,4,NA,NA
2021-11-01,520216,5,19.460297357419392,0,0,0,6,0.5,35,2.5,1,NA,2,0,CHANGEPOINT,0,3.895877496343644,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,278.7406679175767,0.5,293.565395870582,14.824727953005322,0.015013772908730516,35.843674594918724,179.17753186766728,325,0.5,1,18.775,NA,NA,NA,5,NA,NA
2021-11-01,520216,0,9.66540845854638,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,1,104.31744369909217,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,203.19605625545614,0,283.8999874120356,80.70393115657947,0.015013772908730516,35.843674594918724,179.17753186766728,467,0.5,1,18.775,NA,NA,NA,6,NA,NA
2021-11-01,520216,0,4.117580380228333,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,1,79.33648093634895,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,318.3931581782694,0,279.7824070318073,38.61075114646212,0.015013772908730516,35.843674594918724,179.17753186766728,565,0.5,1,18.775,NA,NA,NA,7,NA,NA
2021-11-01,520216,1,13.159582218164985,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,66.17689871818396,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,356.5201710602979,0,292.94198924997227,63.578181810325646,0.015013772908730516,35.843674594918724,179.17753186766728,321,0.5,1,18.775,NA,NA,NA,8,NA,NA
2021-11-01,520216,2,2.062972369414865,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,68.23987108759883,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,16.202422019646917,0,290.8790168805574,85.32340513908952,0.015013772908730516,35.843674594918724,179.17753186766728,383,0.5,1,18.775,NA,NA,NA,9,NA,NA
2021-11-01,520216,3,89.83952302393163,0,0,0,6,0,35,2.5,1,NA,2,0,CHANGEPOINT,0,21.59965193633286,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,333.74264933826436,0,20.718539904489063,46.975890566224734,0.015013772908730516,35.843674594918724,179.17753186766728,642,0.5,1,18.775,NA,NA,NA,10,NA,NA
