ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset,shape.responsearea.stimulusonset,picture.cannonball.stimulusonset,picture.shield_center.stimulusonset,picture.shield.stimulusonset,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,sex,age,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,1,1,1,0,269.8055276716606,172.0594625761871,353.558399900665,43.958373323990024,1009,0,1,4.5,358.558399900665,348.558399900665,6,50.39997342332504,10,2.5,1,5,1,7,1,NA,10,1,0,178.5010626755221,83.75287222900437,miss,1,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,1,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,2,1,2,0,269.8055276716606,352.5765350164325,175.71846376492934,353.558399900665,1077,0,2,4.5,181.21846376492934,170.21846376492934,6,177.83993613573566,11,2.5,1,3,1,7,1,NA,11,2,0,176.85807125150316,94.08706390673129,miss,2,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,1,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,3,0,3,0,267.513882084325,300.249153837568,348.92345026583166,175.71846376492934,758,0,3,4.5,9.423450265831661,328.42345026583166,6,173.20498650090232,41,2.5,0,5,0,5,0,NA,41,3,0,48.67429642826369,81.40956818150664,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,4,0,4,0,265.5761153889292,273.0947377421366,219.6022512235196,348.92345026583166,1008,0,0,4.5,228.6022512235196,210.6022512235196,6,129.32119904231206,18,2.5,1,6,1,6,1,NA,18,4,0,53.492486518617,45.97386416540962,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,5,0,5,0,269.9118018720532,277.6938445990086,151.89373017919812,219.6022512235196,879,0,1,4.5,165.89373017919812,137.89373017919812,6,67.70852104432149,28,2.5,2,9,2,5,2,NA,28,5,0,125.80011441981051,118.0180716928551,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,6,0,6,0,274.46684833859797,255.35332552196252,270,151.89373017919812,936,0,2,4.5,274,266,6,118.10626982080188,8,2.5,0,4,0,5,0,NA,8,6,0,14.646674478037482,4.46684833859797,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,7,0,7,1,272.0667718788325,275.5872245371475,254.0120998194016,270,877,1,2,4.5,280.5120998194016,227.5120998194016,5,15.987900180598388,53,2.5,0,4,0,6,0,NA,53,7,0.5,21.575124717745894,18.054672059430914,hit,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,8,0,8,0,270.7879001536962,269.70871484265143,259.8544555661037,254.0120998194016,987,1,3,4.5,NA,NA,6,5.842355746702083,NA,2.5,0,6,0,86,0,NA,5,8,0,9.854259276547737,10.933444587592533,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,9,0,9,0,270.7333538492976,285.3128155510087,269.41833694249493,259.8544555661037,933,1,0,4.5,278.91833694249493,259.91833694249493,6,9.563881376391237,19,2.5,0,4,0,6,0,NA,19,9,0,15.894478608513793,1.3150169068026685,miss,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,0,NA
239619,2021-10-30,08:37:22,ODDBALL,BLUE,0.86,6,2,18.775,1,10,0,10,1,266.09938418368546,268.94796086012906,266.7210137411456,269.41833694249493,940,2,0,4.5,286.7210137411456,246.7210137411456,5,2.6973232013493202,40,2.5,3,21,3,6,3,NA,40,10,0.5,2.226947118983446,0.6216295574601531,hit,NA,1,1,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,0,NA
