Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-11-03,903284,1,88.02650155141305,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,111.45276826560533,18.775,1,NA,NA,NA,NA,NA,1,0.14,NA,356.1534228446319,0.5,0.8466740238615051,4.693251179229605,0.1456137066684846,32.06151154778274,178.1597069090462,1068,0.5,1,18.775,NA,NA,NA,1,NA,NA
2021-11-03,903284,2,0,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,112.61202411603784,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,109.97512418438876,0,0.8466740238615051,109.12845016052725,0.1456137066684846,32.06151154778274,178.1597069090462,581,0.5,1,18.775,NA,NA,NA,2,NA,NA
2021-11-03,903284,3,106.35818635130315,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,10.443057619994505,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,108.40364906227263,0.5,107.20486037516466,1.198788687107978,0.1456137066684846,32.06151154778274,178.1597069090462,1377,0.5,1,18.775,NA,NA,NA,3,NA,NA
2021-11-03,903284,4,0.08179933474676204,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,15.466877147071983,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,115.37259723235675,0.5,107.1230610404179,8.249536191938859,0.1456137066684846,32.06151154778274,178.1597069090462,358,0.5,1,18.775,NA,NA,NA,4,NA,NA
2021-11-03,903284,5,4.378373283630012,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,15.148686418851966,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,110.1624150069538,0.5,111.5014343240479,1.3390193170941131,0.1456137066684846,32.06151154778274,178.1597069090462,755,0.5,1,18.775,NA,NA,NA,5,NA,NA
2021-11-03,903284,6,1.7743186148759662,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,16.179540115402048,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,97.9508465242557,0.5,109.72711570917194,11.776269184916245,0.1456137066684846,32.06151154778274,178.1597069090462,472,0.5,1,18.775,NA,NA,NA,6,NA,NA
2021-11-03,903284,7,14.016522571672297,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,27.56666212366315,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,97.64103555642775,0.5,95.71059313749964,1.9304424189281093,0.1456137066684846,32.06151154778274,178.1597069090462,361,0.5,1,18.775,NA,NA,NA,7,NA,NA
2021-11-03,903284,8,0.8092086141573418,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,24.468467043532968,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,140.92836428189273,0,96.51980175165698,44.40856253023574,0.1456137066684846,32.06151154778274,178.1597069090462,878,0.5,1,18.775,NA,NA,NA,8,NA,NA
2021-11-03,903284,9,33.603291961699256,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,11.708923075187172,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,123.93720951343498,0.5,130.12309371335624,6.1858841999212615,0.1456137066684846,32.06151154778274,178.1597069090462,527,0.5,1,18.775,NA,NA,NA,9,NA,NA
2021-11-03,903284,10,8.773512848113228,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,1.5788773890439813,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,104.85667445880765,0,121.34958086524301,16.492906406435367,0.1456137066684846,32.06151154778274,178.1597069090462,590,0.5,1,18.775,NA,NA,NA,10,NA,NA
2021-11-03,903284,11,17.52528136098161,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,19.08483696058954,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,152.44496265783584,0,103.8242995042614,48.62066315357444,0.1456137066684846,32.06151154778274,178.1597069090462,226,0.5,1,18.775,NA,NA,NA,11,NA,NA
2021-11-03,903284,12,26.656562781032136,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,7.276923693016968,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,136.92390370222873,0.5,130.48086228529354,6.443041416935188,0.1456137066684846,32.06151154778274,178.1597069090462,365,0.5,1,18.775,NA,NA,NA,12,NA,NA
2021-11-03,903284,13,7.490300976657068,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,8.319437387491604,18.775,0,NA,NA,NA,NA,NA,0,0.14,NA,107.05276160574547,0,137.9711632619506,30.918401656205134,0.1456137066684846,32.06151154778274,178.1597069090462,481,0.5,1,18.775,NA,NA,NA,13,NA,NA
2021-11-03,903284,14,19.13566241420753,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,10.141914914394079,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,105.09540314368488,0.5,118.83550084774308,13.7400977040582,0.1456137066684846,32.06151154778274,178.1597069090462,689,0.5,1,18.775,NA,NA,NA,14,NA,NA
2021-11-03,903284,15,20.628284435824924,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,30.770199350219002,18.775,0,NA,NA,NA,NA,NA,1,0.14,NA,128.11014586317123,0,98.20721641191815,29.902929451253073,0.1456137066684846,32.06151154778274,178.1597069090462,633,0.5,1,18.775,NA,NA,NA,15,NA,NA
2021-11-03,903284,16,16.52986652085484,0,0,0,5.5,0.5,28,1.5,1,NA,1,0,ODDBALL,NA,9.357312858085166,18.775,1,NA,NA,NA,NA,NA,0,0.14,NA,103.94435571577438,0.5,114.73708293277299,10.792727216998614,0.1456137066684846,32.06151154778274,178.1597069090462,403,0.5,1,18.775,NA,NA,NA,16,NA,NA
2021-11-03,903284,17,6.302134109850982,0,0,0,5.5,0,28,1.5,1,NA,1,0,ODDBALL,NA,15.659446967936148,18.775,0,NA,NA,NA,NA,NA,1,0.14,NA,46.81697969483607,0,108.43494882292201,61.61796912808594,0.1456137066684846,32.06151154778274,178.1597069090462,575,0.5,1,18.775,NA,NA,NA,17,NA,NA
