Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-11-03,844579,0,49.96655958283799,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,1,122.4824470793954,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,238.5024190742012,0,355.4711757630675,116.96875668886628,NA,NA,NA,917,0.5,1,18.775,NA,NA,NA,1,NA,NA
2021-11-03,844579,1,125.49282042375867,0,0,0,5,0.5,39,1.5,1,NA,2,0,CHANGEPOINT,0,3.0103733443632734,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,232.8561140891226,0.5,229.97835533930882,2.877758749813779,NA,NA,NA,691,0.5,1,18.775,NA,NA,NA,2,NA,NA
2021-11-03,844579,2,3.7678069232463827,0,0,0,5,0.5,39,1.5,1,NA,2,0,CHANGEPOINT,0,0.7574335788831092,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,250.28934946848958,0.5,233.7461622625552,16.543187205934373,NA,NA,NA,745,0.5,1,18.775,NA,NA,NA,3,NA,NA
2021-11-03,844579,0,33.85680920738534,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,1,51.50748248754411,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,331.4239302620928,0,267.60297146994054,63.82095879215228,NA,NA,NA,557,0.5,1,18.775,NA,NA,NA,4,NA,NA
2021-11-03,844579,1,53.77985105643069,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,0,2.272368568886577,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,296.3565381857904,0,321.38282252637123,25.026284340580844,NA,NA,NA,697,0.5,1,18.775,NA,NA,NA,5,NA,NA
2021-11-03,844579,0,36.81912993543483,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,1,100.43181292781082,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,185.86073748757428,0,284.5636925909364,98.70295510336211,NA,NA,NA,542,0.5,1,18.775,NA,NA,NA,6,NA,NA
2021-11-03,844579,1,99.71059620394402,0,0,0,5,0.5,39,1.5,1,NA,2,0,CHANGEPOINT,0,0.721216723866803,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,202.40150556709503,0.5,184.85309638699238,17.548409180102652,NA,NA,NA,643,0.5,1,18.775,NA,NA,NA,7,NA,NA
2021-11-03,844579,0,104.27005692896932,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,1,114.8402769294367,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,56.83566719097413,0,289.1231533159617,127.71251387501243,NA,NA,NA,1331,0.5,1,18.775,NA,NA,NA,8,NA,NA
2021-11-03,844579,1,124.44598856387594,0,0,0,5,0.5,39,1.5,1,NA,2,0,CHANGEPOINT,0,9.605711634439245,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,56.65304808806144,0.5,53.56914187983765,3.0839062082237874,NA,NA,NA,655,0.5,1,18.775,NA,NA,NA,9,NA,NA
2021-11-03,844579,2,4.627321312380829,0,0,0,5,0,39,1.5,1,NA,2,0,CHANGEPOINT,0,14.233032946820074,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,32.36001033993598,0,58.19646319221848,25.8364528522825,NA,NA,NA,838,0.5,1,18.775,NA,NA,NA,10,NA,NA
2021-11-03,844579,3,33.49909085457466,0,0,0,5,0.5,39,1.5,1,NA,2,0,CHANGEPOINT,0,19.26605790775459,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,48.628193834490325,0.5,24.697372337643817,23.93082149684651,NA,NA,NA,1182,0.5,1,18.775,NA,NA,NA,11,NA,NA
