ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset,shape.responsearea.stimulusonset,picture.cannonball.stimulusonset,picture.shield_center.stimulusonset,picture.shield.stimulusonset,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp,boatType,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,outT,timestampOffset,timestampOnset,timestampPrediction,triggers,vola
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,11,0,6,0,33.682858700324516,13.228395236640306,46.78372115385586,54.46232220802562,936,4,3,6.5,64.78372115385585,28.783721153855858,6,7.678601054169761,0,36,2,1,1,1,3,1,1,11,0,33.555325917215555,13.100862453531342,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,12,0,7,0,33.682858700324516,41.81332467476248,354.5852979290444,46.78372115385586,605,4,0,6.5,9.585297929044373,339.5852979290444,6,52.198423224811506,0,30,2,1,1,1,1,1,1,12,0,47.228026745718125,39.09756077128014,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,13,0,8,0,33.682858700324516,23.548015914648886,58.650419134756994,354.5852979290444,950,4,1,6.5,84.15041913475699,33.150419134756994,6,64.06512120571261,0,51,2,1,1,1,1,1,1,13,0,35.10240322010811,24.967560434432478,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,14,1,0,0,338.1896530134114,325.9872833259101,58.650419134756994,58.650419134756994,460,4,2,6.5,81.65041913475699,35.650419134756994,6,0,0,46,2,2,2,2,1,2,2,14,0,92.6631358088469,80.46076612134561,miss,14,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,15,0,1,0,338.1896530134114,328.52717275000947,347.0053832080835,58.650419134756994,793,4,3,6.5,4.505383208083515,329.5053832080835,6,71.64503592667347,0,35,2,2,2,2,1,2,2,15,0,18.478210458074045,8.815730194672142,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,16,0,2,0,338.1896530134114,305.5157670150226,337.3801350519596,347.0053832080835,790,4,0,6.5,352.8801350519596,321.8801350519596,6,9.625248156123916,0,31,2,1,1,1,1,1,1,16,0,31.86436803693698,0.8095179614517747,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,17,0,3,0,338.1896530134114,341.04641480334146,312.23614262908745,337.3801350519596,594,4,1,6.5,326.73614262908745,297.73614262908745,6,25.143992422872145,0,29,2,2,1,2,1,2,2,17,0,28.81027217425401,25.95351038432392,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,18,0,4,1,338.1896530134114,352.2535584121996,347.9827481574355,312.23614262908745,630,5,1,6.5,0.9827481574354806,334.9827481574355,5,35.74660552834803,0,26,2,2,1,2,4,2,2,18,0.5,4.270810254764115,9.793095144024107,hit,NA,2,2,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,19,0,5,0,338.1896530134114,316.85356271495573,357.28659055496666,347.9827481574355,583,5,2,6.5,16.286590554966665,338.28659055496666,6,9.303842397531184,0,38,2,1,1,1,4,1,1,19,0,40.433027840010936,19.096937541555292,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,20,0,6,0,338.1896530134114,327.8423846382025,342.77656380886856,357.28659055496666,707,5,3,6.5,NA,NA,6,14.510026746098106,0,NA,2,1,1,1,1,1,1,20,0,14.934179170666084,4.586910795457186,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
