Date,ID,TAC,UP,UPMin,UPNorm,UPPlus,accPerf,actRew,age,allASS,block,boatType,cBal,catchTrial,cond,cp,distMean,driftConc,hit,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,oddBall,oddballProb,outT,outcome,perf,pred,predErr,predErrMin,predErrNorm,predErrPlus,predT,rew,sex,sigma,timestampOffset,timestampOnset,timestampPrediction,trial,triggers,vola
2021-10-22,577910,1,84.50606235964827,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,64.81577090455505,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,327.8073391360585,0,46.60226134627098,78.79492221021246,0.1253229721886555,32.851462357236684,178.28269580333188,1144,0.5,1,18.775,NA,NA,NA,1,NA,NA
2021-10-22,577910,2,80.06375649633958,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,15.247985591784527,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,347.43131480090653,0,326.5385048499314,20.892809950975106,0.1253229721886555,32.851462357236684,178.28269580333188,1361,0.5,1,18.775,NA,NA,NA,2,NA,NA
2021-10-22,577910,3,19.83450029017706,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,4.586514698392534,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,327.7137227074219,0,346.3730051401085,18.65928243268661,0.1253229721886555,32.851462357236684,178.28269580333188,1458,0.5,1,18.775,NA,NA,NA,3,NA,NA
2021-10-22,577910,0,0.7365142301401306,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,1,89.05203164728329,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,264.65713623099805,0,347.1095193702486,82.45238313925057,0.1253229721886555,32.851462357236684,178.28269580333188,1593,0.5,1,18.775,NA,NA,NA,4,NA,NA
2021-10-22,577910,1,79.01867180324501,0,0,0,5.5,0.5,36,1.5,1,NA,2,0,CHANGEPOINT,0,10.033359844038273,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,266.11530886191065,0.5,268.0908475670036,1.9755387050929585,0.1253229721886555,32.851462357236684,178.28269580333188,1494,0.5,1,18.775,NA,NA,NA,5,NA,NA
2021-10-22,577910,2,4.128530088426487,0,0,0,5.5,0.5,36,1.5,1,NA,2,0,CHANGEPOINT,0,5.904829755611786,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,271.0793997331539,0.5,263.9623174785771,7.117082254576758,0.1253229721886555,32.851462357236684,178.28269580333188,953,0.5,1,18.775,NA,NA,NA,6,NA,NA
2021-10-22,577910,3,10.415423450162962,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,16.320253205774748,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,237.7845651467463,0,274.3777409287401,36.59317578199378,0.1253229721886555,32.851462357236684,178.28269580333188,1172,0.5,1,18.775,NA,NA,NA,7,NA,NA
2021-10-22,577910,4,42.90792094356692,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,26.587667737792174,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,265.5023634411145,0,231.46981998517316,34.03254345594132,0.1253229721886555,32.851462357236684,178.28269580333188,1237,0.5,1,18.775,NA,NA,NA,8,NA,NA
2021-10-22,577910,5,22.4701927076662,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,4.1174750301259735,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,268.40518809976874,0,253.94001269283936,14.465175406929376,0.1253229721886555,32.851462357236684,178.28269580333188,983,0.5,1,18.775,NA,NA,NA,9,NA,NA
2021-10-22,577910,0,13.558364492878894,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,1,69.45525775459157,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,303.69100174577187,0,267.49837718571825,36.192624560053616,0.1253229721886555,32.851462357236684,178.28269580333188,1085,0.5,1,18.775,NA,NA,NA,10,NA,NA
2021-10-22,577910,1,41.336781032046304,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,28.118476722545267,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,356.49880873189636,0,308.83515821776456,47.6636505141318,0.1253229721886555,32.851462357236684,178.28269580333188,804,0.5,1,18.775,NA,NA,NA,11,NA,NA
2021-10-22,577910,2,58.32392220531227,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,30.205445482767004,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,326.7770080935415,0,7.159080423076813,40.38207232953533,0.1253229721886555,32.851462357236684,178.28269580333188,1279,0.5,1,18.775,NA,NA,NA,12,NA,NA
2021-10-22,577910,3,21.80339306023251,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,8.402052422534496,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,317.5004028787401,0,345.3556873628443,27.85528448410423,0.1253229721886555,32.851462357236684,178.28269580333188,1270,0.5,1,18.775,NA,NA,NA,13,NA,NA
2021-10-22,577910,4,20.612046075807143,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,12.209993653272647,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,312.66580099303434,0,324.7436412870372,12.07784029400284,0.1253229721886555,32.851462357236684,178.28269580333188,998,0.5,1,18.775,NA,NA,NA,14,NA,NA
2021-10-22,577910,5,15.283429360591697,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,27.493423013864344,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,317.276913304662,0,309.4602119264455,7.816701378216521,0.1253229721886555,32.851462357236684,178.28269580333188,1084,0.5,1,18.775,NA,NA,NA,15,NA,NA
2021-10-22,577910,6,7.051546834688679,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,34.54496984855302,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,329.4851570360369,0,302.4086650917568,27.07649194428012,0.1253229721886555,32.851462357236684,178.28269580333188,1528,0.5,1,18.775,NA,NA,NA,16,NA,NA
2021-10-22,577910,7,19.837483802913425,0,0,0,5.5,0.5,36,1.5,1,NA,2,0,CHANGEPOINT,0,14.707486045639598,18.775,1,NA,NA,NA,NA,NA,NA,0.14,NA,320.355612096406,0.5,322.2461488946702,1.890536798264236,0.1253229721886555,32.851462357236684,178.28269580333188,844,0.5,1,18.775,NA,NA,NA,17,NA,NA
2021-10-22,577910,8,13.903377197252837,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,0.8041088483867611,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,309.0664056888214,0,336.14952609192306,27.083120403101645,0.1253229721886555,32.851462357236684,178.28269580333188,1198,0.5,1,18.775,NA,NA,NA,18,NA,NA
2021-10-22,577910,9,22.656961850698053,0,0,0,5.5,0,36,1.5,1,NA,2,0,CHANGEPOINT,0,23.461070699084814,18.775,0,NA,NA,NA,NA,NA,NA,0.14,NA,8.358502973927955,0,313.492564241225,54.86593873270294,0.1253229721886555,32.851462357236684,178.28269580333188,780,0.5,1,18.775,NA,NA,NA,19,NA,NA
