"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","ang","angmu","cannonballs_caught","cannonballs_missed","r","centsearned","totalearnings"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","354.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","354.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","356.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","0.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","1","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","99","1","0","0","0","0","358.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","99","1","0","0","0","0","338.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","99","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","99","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","3","99","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","99","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
